konsert_datum,konsert_namn,lokal_namn,konsert_biljettpris,konserttyp_namn,Producer,normalized_konsert_datum
1908-11-28,familjesoaré,vetenskapsakademiens hörsal,1kr 75öre numrerade 50öre onumrerade,litterär musikalisk föreställning,lundberg anna,1908 11 28
1908-11-28,folkkonsert,södermalms högre allmänna läroverks aula,,folkkonsert,södermalms arbetareinstitut södermalm workers' institute,1908 11 28
1908-11-28,folkkonsert,arbetare institutet klara norra kyrkogata 8,,folkkonsert,,1908 11 28
1908-11-28,frödingafton,viktoriasalen,1kr 1:50kr,litterär musikalisk föreställning,widell signe,1908 11 28
1908-11-28,litteraturafton: fröding och karlfeldt,viktoriasalen,1:50 parkett mitt och främr. sida. 1kr rad,konsert,borgarskolans serier borgarskolan series,1908 11 28
1908-11-28,p.b. soaré för bricolllister och damer,grand hotel festsalen,2:50kr numrerade 2kr onumrerade,konsert,,1908 11 28
1908-11-29,konsert,sofiakyrkan,50öre,kyrkokonsert,wennerberg reuter sara,1908 11 29
1908-11-29,matiné,grand restaurant nationals stora salong,75öre,,zetterman k.f. [karl fredrik],1908 11 29
1908-11-29,populär konsert,vetenskapsakademiens hörsal,50öre,konsert,hansson axel,1908 11 29
1908-11-30,musikföreningens 1:a konsert,gustav vasa kyrkan,3kr 2:50kr 2kr 1:50kr,konsert,musikföreningen music association,1908 11 30
1908-11-30,soaré av sällskaet e. v. [enighet och vänskap],södermalms högre allmänna läroverks aula,,konsert,sällskapet e. v. [enighet och vänskap] society e.v. [unity and friendship],1908 11 30
1908-12-02,sångsällskapet sjunt sjunt gifver kvartett afton,vetenskapsakademiens hörsal,1kr,körkonsert,sällskapet sjung sjung,1908 12 02
1908-12-02,svenska musikerförbundet gifver en populär symfoni matiné till förmån för fattiga skolbarns bespisning,dramatiska teatern,,konsert,svenska musikerförbundet swedish musicians' union,1908 12 02
1908-12-02,violinisten fritz kreisler ger konsert,kfuk:s stora hörsal,3kr 2:50kr 2kr 1:50kr,konsert,kreisler fritz,1908 12 02
1908-12-03,aulinkvartettens andra abonnemangskonsert,kfuk:s stora hörsal,,kammarmusikkonsert,,1908 12 03
1908-12-05,musikkonservatoriets 500:e musikföredrag,kungliga musikaliska akademiens lokal,,fest,kungliga musikaliska akademien royal swedish academy of music,1908 12 05
1908-12-05,sago och visafton till förmån för de nödställda folkskolebarnen,viktoriasalen,1kr 1:50kr,barnkonsert,widell signe,1908 12 05
1908-12-06,årets sista folkkonsert med kommunalt understöd,kungliga musikaliska akademiens lokal,,konsert,,1908 12 06
1908-12-06,folkkonsert,arbetare institutet klara norra kyrkogata 8,,folkkonsert,arbetareinstitutet workers' institute,1908 12 06
1908-12-06,konsert,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 12 06
1908-12-06,konsert för arbetare,realläroverkets aula,inbjudna,arbetarkonsert,realläroverkets elever real high school students,1908 12 06
1908-12-06,populär konsert: svensk afton,vetenskapsakademiens hörsal,50öre,konsert,hansson axel,1908 12 06
1908-12-06,privat matinéen,kapellet svartensgatan 3,50öre,,,1908 12 06
1908-12-07,séance littéraire et musicale,hotel continentals festsal,,litterär musikalisk föreställning,alliance francaise alliance française,1908 12 07
1908-12-07,violinisten fritz kreisler 2a konsert,kfuk:s stora hörsal,3kr 2:50kr 2kr 1:50kr,konsert,kreisler fritz,1908 12 07
1908-12-09,möte inför jättekonsert till de nödlidande barnen,realläroverkets aula,,populärkonsert,,1908 12 09
1908-12-10,fru elsa lindquisters konsert,vetenskapsakademiens hörsal,,kammarmusikkonsert,lindquister elsa mrs,1908 12 10
1908-12-11,konsert,trefaldighetskyrkan,1kr,kyrkokonsert,jackson norris henry,1908 12 11
1908-12-12,familje soirée: till förmån för barnbespisningen,vetenskapsakademiens hörsal,1kr 75öre 50öre,viskonsert,lundberg anna,1908 12 12
1908-12-12,folkkonsert,södermalms högre allmänna läroverks aula,,folkkonsert,södermalms arbetareinstitut södermalm workers' institute,1908 12 12
1908-12-12,kreisler konsert,kungliga operan/kungliga teatern,symfonikonsertpriser,konsert,kungliga teatern/kungliga operan royal theatre/royal opera,1908 12 12
1908-12-12,musikkonservatoriets offentliga uppvisningar: orgel blåsinstrument ensemblespelning och instrumentering för militärkorkester,kungliga musikaliska akademiens lokal,,konsert,kungliga musikaliska akademien royal swedish academy of music,1908 12 12
1908-12-13,populär konsert: peterson berger,vetenskapsakademiens hörsal,,konsert,hansson axel,1908 12 13
1908-12-14,musikkonservatoriets offentliga uppvisningar: piano sång ensemblespelning och komposition,kungliga musikaliska akademiens lokal,,konsert,kungliga musikaliska akademien royal swedish academy of music,1908 12 14
1908-12-15,aulinkvartettens andra abonnemangskonsert uppskjuten,kfuk:s stora hörsal,2kr 1:50kr numrerade 1kr onumrerade,kammarmusikkonsert,aulinkvartetten aulin quartet,1908 12 15
1908-12-15,fosterländsk fest,cirkus,2kr 1:50kr 1kr,fest,k.f.u.m. gymnasiterna ymca gymnasts,1908 12 15
1908-12-16,nobelprisföredraget av k.p. arnoldson,kungliga musikaliska akademiens lokal,1kr 50öre,föreläsning,,1908 12 16
1908-12-18,2:a symfonikonserten,kungliga operan/kungliga teatern,,konsert,kungliga teatern/kungliga operan royal theatre/royal opera,1908 12 18
1908-12-18,musikkonservatoriets offentliga uppvisningar: violoncell kontrabas piano violin och körsång,kungliga musikaliska akademiens lokal,,konsert,kungliga musikaliska akademien royal swedish academy of music,1908 12 18
1908-12-25,populär soaré,arbetare institutet klara norra kyrkogata 8,50öre 75öre 1kr,folkkonsert,dahlberg erik,1908 12 25
1908-12-26,familje soiré,vetenskapsakademiens hörsal,1kr 75öre 50öre,viskonsert,lundberg anna,1908 12 26
1908-12-26,populär soaré,arbetare institutet klara norra kyrkogata 8,50öre 75öre 1kr,folkkonsert,dahlberg erik,1908 12 26
1908-12-27,populär soaré,arbetare institutet klara norra kyrkogata 8,50öre 75öre 1kr,folkkonsert,dahlberg erik,1908 12 27
1908-12-31,nyårsvaka å runan,,,,,1908 12 31
1908-12-31,stor nyårsbal,grand restaurant nationals stora salong,1:50kr,bal,,1908 12 31
