konsert_datum,konsert_namn,lokal_namn,konsert_biljettpris,konserttyp_namn,Producer,normalized_konsert_datum
1908-03-25,populärkonsert,kfuk:s stora hörsal,75öre 1kr,konsert,hansson axel,1908 03 25
1908-03-26,beethovenafton,kungliga musikaliska akademiens lokal,,konsert,stenhammar wilhelm,1908 03 26
1908-03-26,familjeafton,berns salong,fri entré,barnkonsert,berns,1908 03 26
1908-03-26,familjeafton med särskilt utvalt musikprogram,berns salong,fri entré,barnkonsert,berns,1908 03 26
1908-03-28,anekdot och visafton med skioptikonbilder för ungdom,kfum:s stora sal,50öre,ungdomskonsert,nordiska samfundet,1908 03 28
1908-03-28,konsert,kungsholmens läroverks högtidssal,,konsert,ssuh föreningen solidar,1908 03 28
1908-03-28,populär sång afton,vetenskapsakademiens hörsal,1kr numrerade 50öre onumrerade,viskonsert,lundberg anna,1908 03 28
1908-03-29,folkkonsert,arbetareföreningens stora sal,,folkkonsert,arbetareinstitutet workers' institute,1908 03 29
1908-03-29,konsert,skansen,50öre hälften för barn under 12 barn under 3 gratis,utomhuskonsert,skansen skansen (open air museum and historical park),1908 03 29
1908-03-29,populärkonsert,vetenskapsakademiens hörsal,75öre,konsert,hansson axel,1908 03 29
1908-03-29,vårkonsert till förmån för stockholms nationalgodemplares koloi för fattiga barn,katarina kyrka,75öre 50öre,kyrkokonsert,,1908 03 29
1908-03-31,emil sjögren giver musik afton,kungliga musikaliska akademiens lokal,2:50kr 2kr 1:50kr,konsert,sjögren emil,1908 03 31
1908-04-02,familjeafton,berns salong,fri entré,barnkonsert,berns,1908 04 02
1908-04-04,populär sång afton,vetenskapsakademiens hörsal,1kr numrerade 50öre onumrerade,konsert,lundberg anna,1908 04 04
1908-04-05,folkkonsert andra konserten med kommunalt understöd,kungliga musikaliska akademiens lokal,25öre,folkkonsert,folkkonsertförbundet,1908 04 05
1908-04-05,konsert,skansen,50öre hälften för barn under 12 barn under 3 gratis,utomhuskonsert,skansen skansen (open air museum and historical park),1908 04 05
1908-04-05,kyrkokonsert,oscarskyrkan,,kyrkokonsert,oscarskyrkan,1908 04 05
1908-04-05,matiné för erhållande af en brunn vid hagalunds arbetsstuga,st matteus kyrka,,kyrkokonsert,,1908 04 05
1908-04-05,svenska folkförbundets manskör i stockholms konsert,nordiska museets stora hall,,körkonsert,svenska folkförbundets manskör swedish folk association's men's choir,1908 04 05
1908-04-06,sångafton,höloftet på skansen,,körkonsert,samfundet för unison sång society for unison singing,1908 04 06
1908-04-07,konsert,södermalms högre allmänna läroverks aula,,konsert,orkesterföreningen inom södermalms läroverk the orchestra association within södermalm's secondary school,1908 04 07
1908-04-08,italienska pianisten maria avani carrera gifver konsert,vetenskapsakademiens hörsal,2:50kr 2kr numrerade 1:50kr onumrerade,konsert,avani carrera maria,1908 04 08
1908-04-09,familjeafton,berns salong,fri entré,barnkonsert,berns,1908 04 09
1908-04-09,svensk afton,vetenskapsakademiens hörsal,1kr 1:50kr,konsert,borgarskolans serier borgarskolan series,1908 04 09
1908-04-11,kfum gymnasisternas konsert till förmån för deras resefond,kfum:s stora sal,75öre 1kr 1:50kr,konsert,k.f.u.m norr ymca north,1908 04 11
1908-04-12,folk konsert,arbetareföreningens stora sal,,folkkonsert,arbetareinstitutet workers' institute,1908 04 12
1908-04-12,matiné,,,militärkonsert,kungl. svea livgardets musik korps royal svea life guards music corps,1908 04 12
1908-04-12,populär konsert,vetenskapsakademiens hörsal,50öre 75öre,konsert,hansson axel,1908 04 12
1908-04-12,privat matiné,kungliga musikaliska akademiens lokal,,konsert,,1908 04 12
